,accuracy,precision_weighted,recall_weighted,f1_weighted,roc_auc_ovr_weighted,f1_weighted_std,fit_time_s,score_time_s
Hist Gradient Boosting,0.861587325981993,0.8574941983316032,0.861587325981993,0.8587545435711158,0.9625714309327629,0.00824173550924545,34.18505511283875,1.13172607421875
LightGBM,0.8615882651776147,0.8568232635848405,0.8615882651776147,0.8579560019536476,0.9627349865829379,0.010221443958555778,145.80865898132325,0.596830940246582
XGBoost,0.8585818999927426,0.8543349988099681,0.8585818999927426,0.8555965128224529,0.9628236363951806,0.009183963380912232,46.374425411224365,0.4097151756286621
CatBoost,0.8555754494264504,0.8500733910107419,0.8555754494264504,0.8514030092135441,0.961277302031321,0.006735708355682824,74.12761359214782,0.3638068675994873
Gradient Boosting,0.8504774102107641,0.8454134198762133,0.8504774102107641,0.8467532009736919,0.9581040509963217,0.005862025853530437,69.64811897277832,0.16506004333496094
Random Forest,0.8503478012149776,0.8435483273040347,0.8503478012149776,0.8442650047205648,0.9586665297336999,0.008522104920618988,9.613287925720215,0.7114961624145508
Extra Trees,0.844727483852239,0.8376084633015877,0.844727483852239,0.8374610905228345,0.9562846742863386,0.008944741017378171,2.8045098304748537,0.7972440719604492
Support Vector Machine,0.8333557886468326,0.8274496557845623,0.8333557886468326,0.8285563964635771,0.9473535881184143,0.008601592966403391,30.021186113357544,2.7601535320281982
MLP Neural Network,0.8287807960109801,0.8233401363087497,0.8287807960109801,0.824814391719612,0.9469307513143594,0.009656672421946526,3.1344844818115236,0.2038567066192627
Logistic Regression,0.8155803161673987,0.8101223324716933,0.8155803161673987,0.811631588520504,0.938279090217004,0.008822154912443902,2.14884467124939,0.2476499557495117
Decision Tree,0.796105326519896,0.7927859725487154,0.796105326519896,0.7941927335782898,0.8788649359598798,0.010569695540686389,1.4630739212036132,0.19277281761169435
K-Nearest Neighbors,0.7894405382444726,0.7851489534787814,0.7894405382444726,0.7806903866824262,0.926382755134058,0.009742029341763587,0.5708840847015381,0.6863597869873047
