number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_max_features,params_max_iter,params_max_leaf_nodes,params_min_samples_leaf,state
0,0.803941150219986,2026-06-30 12:46:30.313842,2026-06-30 12:46:54.937779,0 days 00:00:24.623937,0.034873515599526915,0.02757359293934948,0.5779972601681014,900,25,128,COMPLETE
1,0.8091613809573482,2026-06-30 12:46:54.961024,2026-06-30 12:47:22.400704,0 days 00:00:27.439680,0.011791655502618492,0.011703388679635262,0.9849549260809971,900,22,148,COMPLETE
2,0.8029928867122889,2026-06-30 12:47:22.418839,2026-06-30 12:47:42.504820,0 days 00:00:20.085981,0.11425814516827706,0.09528587217040241,0.762378215816119,400,12,53,COMPLETE
3,0.8060068071023654,2026-06-30 12:47:42.517773,2026-06-30 12:48:04.540349,0 days 00:00:22.022576,0.10371041375055881,0.032211189352044464,0.6831809216468459,500,22,45,COMPLETE
4,0.8092562231465098,2026-06-30 12:48:04.559779,2026-06-30 12:48:26.954327,0 days 00:00:22.394548,1.1478821143227778,0.03438586247938296,0.5232252063599989,800,12,113,COMPLETE
5,0.8040086736408294,2026-06-30 12:48:26.972290,2026-06-30 12:48:48.643293,0 days 00:00:21.671003,22.783459357466153,0.05182367293641893,0.9041986740582306,400,9,191,COMPLETE
6,0.8020792876731175,2026-06-30 12:48:48.660763,2026-06-30 12:49:11.568746,0 days 00:00:22.907983,0.026566952561151127,0.022816739880816207,0.7475884550556351,300,24,99,COMPLETE
7,0.8132059185393803,2026-06-30 12:49:11.584287,2026-06-30 12:49:36.731264,0 days 00:00:25.146977,0.12129899650425083,0.01097599850212944,0.7600340105889054,900,14,139,COMPLETE
8,0.8034054454284245,2026-06-30 12:49:36.748790,2026-06-30 12:49:58.555350,0 days 00:00:21.806560,18.482117991817724,0.04395225692486303,0.9474136752138245,400,31,160,COMPLETE
9,0.8116036946333409,2026-06-30 12:49:58.571974,2026-06-30 12:50:18.989565,0 days 00:00:20.417591,0.014363516167384873,0.05048762470240494,0.6626651653816322,900,10,55,COMPLETE
10,0.7931653003425241,2026-06-30 12:50:19.017041,2026-06-30 12:50:38.909978,0 days 00:00:19.892937,1.8476471606362963,0.13186206473268675,0.8451235367845726,700,17,82,COMPLETE
11,0.808165742248633,2026-06-30 12:50:38.927119,2026-06-30 12:51:06.883910,0 days 00:00:27.956791,0.2877373971248291,0.010431359371366643,0.6480436065939664,700,16,21,COMPLETE
12,0.8164626939888175,2026-06-30 12:51:06.902325,2026-06-30 12:51:29.286210,0 days 00:00:22.383885,0.011742884619297308,0.016837815856581128,0.7958418179650298,800,8,189,COMPLETE
13,0.8069728204561846,2026-06-30 12:51:29.302052,2026-06-30 12:51:52.099496,0 days 00:00:22.797444,0.4263290032476773,0.017940844452463252,0.8165309416302601,700,16,200,COMPLETE
14,0.8140087480529579,2026-06-30 12:51:52.116164,2026-06-30 12:52:15.731950,0 days 00:00:23.615786,0.07046651766125687,0.013918554084227644,0.8336228052393174,800,8,177,COMPLETE
15,0.8145023036215453,2026-06-30 12:52:15.750043,2026-06-30 12:52:38.946658,0 days 00:00:23.196615,0.043178391776540107,0.0163002644193906,0.8599792087986128,600,8,172,COMPLETE
16,0.8136296404418486,2026-06-30 12:52:38.967359,2026-06-30 12:53:01.812664,0 days 00:00:22.845305,0.03333059903192697,0.017349688781659357,0.8758067124078944,600,8,172,COMPLETE
17,0.8160657955589312,2026-06-30 12:53:01.829393,2026-06-30 12:53:23.990069,0 days 00:00:22.160676,0.010971220765694869,0.019248448334962885,0.7928695754533386,600,12,175,COMPLETE
18,0.8145071770776764,2026-06-30 12:53:24.007757,2026-06-30 12:53:45.473736,0 days 00:00:21.465979,0.010240043130417332,0.0235949359634977,0.7035282450158571,600,12,188,COMPLETE
19,0.804119005096405,2026-06-30 12:53:45.491584,2026-06-30 12:54:05.627899,0 days 00:00:20.136315,0.01822534688989675,0.0676469865359329,0.7884966369844151,800,19,155,COMPLETE
20,0.810213801999178,2026-06-30 12:54:05.644328,2026-06-30 12:54:28.916678,0 days 00:00:23.272350,0.32865613887265016,0.02098894351641106,0.608245888615049,500,11,128,COMPLETE
21,0.8104385134592986,2026-06-30 12:54:28.932784,2026-06-30 12:54:50.674685,0 days 00:00:21.741901,0.012287408049666807,0.02351185838461571,0.7127544255947426,600,13,187,COMPLETE
22,0.8120867431680143,2026-06-30 12:54:50.687917,2026-06-30 12:55:14.037404,0 days 00:00:23.349487,0.01041081420227106,0.014999115702436944,0.7260912067300471,500,15,183,COMPLETE
