,importance
duty_cycle,0.03295670777824239
koi_dikco_msky,0.01681326938380634
koi_smet_err2,0.01241203371415931
koi_count,0.0074973665272166975
koi_dicco_msky,0.005881840655319303
koi_prad,0.004484371428365652
koi_max_mult_ev,0.0044803183802621495
koi_dikco_msky_sig,0.004099126797392161
koi_fwm_stat_sig,0.0035602505608698155
koi_fwm_srao,0.0034679401183226656
koi_duration_err1,0.003175267129115711
depth_snr,0.0031350502389153934
koi_depth,0.0028764144684206407
dec,0.002513519616247939
koi_duration,0.0017077959393532738
koi_prad_log,0.001584059501611368
koi_fwm_sdeco,0.0015511515622136818
koi_bin_oedp_sig,0.0014251031014028137
koi_fwm_sdec_sig,0.0012858036245252836
koi_smet,0.0010120223705850529
koi_fwm_pdeco_err,0.001006596311906538
koi_period_err1,0.00089035569226944
koi_max_sngle_ev,0.0008890171847284467
koi_depth_log,0.0008885454541763705
koi_srho_err1,0.0007531125076791656
koi_kepmag,0.0006561670929038366
koi_smass_err2,0.0003881855991632044
koi_fwm_prao,0.00027674507932977653
koi_steff_err2,0.00017510024012395986
koi_ldm_coeff1,0.00011055843297047563
koi_srad_err1,9.299718455316742e-05
koi_insol_err2,7.910888505531233e-05
koi_time0bk,6.488808176415838e-05
koi_steff,4.730721667515203e-05
koi_dicco_msky_sig,2.6702283880541967e-05
period_class,0.0
in_habitable_zone,0.0
koi_insol_log,0.0
koi_fwm_pdeco,-1.2665432114866704e-06
koi_num_transits_log,-1.5524986379145123e-05
koi_steff_err1,-2.8321127390817935e-05
koi_insol,-5.507916690946635e-05
depth_ror_consistency,-8.257642286364497e-05
koi_tce_plnt_num,-9.633356189143738e-05
prad_class,-0.00010175395849059133
teq_steff_ratio,-0.000107015552008205
koi_slogg_err2,-0.00013709319919497087
koi_slogg_err1,-0.00014739578111353513
koi_model_snr_log,-0.00015665087542540145
koi_dicco_mra,-0.00015740212750245953
koi_slogg,-0.00022010935577774227
koi_srho,-0.00022534278065302615
koi_model_snr,-0.00030887270860247007
koi_smass_err1,-0.00031155041884463054
koi_time0bk_err1,-0.00031640490690036937
koi_smass,-0.0003217501554223734
koi_sma,-0.0003239247585616778
koi_ldm_coeff2,-0.00038555416836626443
koi_depth_err1,-0.0004111294441841329
koi_srho_err2,-0.0004269129086478474
koi_teq,-0.0004544083575884428
koi_srad_err2,-0.00048187190677856373
teq_class,-0.0004957125021851971
koi_num_transits,-0.0005292656680694119
koi_srad,-0.0005659102838527996
koi_max_mult_ev_log,-0.0006149795804441637
koi_jmag,-0.0006631512710456811
koi_dikco_mra,-0.0006859468555436732
koi_smet_err1,-0.0006948863754861034
koi_period_log,-0.0007697287287567245
snr_per_transit,-0.00084818121136786
koi_sma_log,-0.0008740110377794541
koi_dicco_mdec_err,-0.0008878714785702235
koi_period,-0.0009099824709062343
koi_dikco_mdec_err,-0.0009844696501656424
koi_fwm_sra_sig,-0.0010950194132957948
koi_dicco_mra_err,-0.0011090817442958255
koi_dikco_mdec,-0.0011828938393747324
koi_dikco_mra_err,-0.0012006755720327833
koi_insol_err1,-0.0012096296374802362
koi_ror_err2,-0.0012782201456321251
koi_dicco_mdec,-0.0014458543941657908
koi_prad_err1,-0.001451715057806502
koi_ror_err1,-0.0014551204506701109
koi_dikco_msky_err,-0.0015000936170023848
ra,-0.001728610108818318
koi_incl,-0.0018302055119108428
koi_dicco_msky_err,-0.0018571125208466156
koi_fwm_sdeco_err,-0.0018709691159986663
koi_impact,-0.0018768362239034108
koi_fwm_srao_err,-0.0021723351044495966
